;adresas;kaina;kaina_kv;plotas;kambariai
220;;165500.0;4769.0;34.7;2.0
221;;216000.0;2962.0;72.93;3.0
222;;255000.0;3468.0;73.54;3.0
223;;36000.0;1590.0;22.64;1.0
224;;700000.0;6542.0;107.0;5.0
225;;349000.0;3753.0;93.0;3.0
226;;23900.0;373.0;64.0;4.0
227;;30000.0;621.0;48.3;2.0
228;;62500.0;840.0;74.43;4.0
229;;320000.0;5246.0;61.0;3.0
230;;150000.0;3000.0;50.0;2.0
231;;91000.0;2275.0;40.0;2.0
232;;117900.0;3976.0;29.65;1.0
233;;56000.0;973.0;57.57;3.0
234;;147000.0;2070.0;71.0;2.0
235;;32000.0;669.0;47.81;2.0
236;;83000.0;1307.0;63.48;2.0
237;;282500.0;4216.0;67.0;2.0
238;;42500.0;1152.0;36.88;1.0
239;;127000.0;2190.0;58.0;2.0
240;;115000.0;2614.0;44.0;2.0
241;;42000.0;857.0;49.0;2.0
242;;65000.0;910.0;71.41;4.0
243;;42000.0;536.0;78.35;3.0
244;;29500.0;968.0;30.48;1.0
245;;43000.0;778.0;55.29;3.0
246;;220000.0;2588.0;85.0;3.0
247;;133000.0;2608.0;51.0;2.0
248;;379000.0;4512.0;84.0;3.0
249;;3250.0;74.0;44.0;2.0
