;adresas;kaina;kaina_kv;plotas;kambariai
116;Vilnius, Žirmūnai, Kareivių g.;214423.0;3057.0;70.14;4.0
117;Vilnius, Žvėrynas, A. Mickevičiaus g.;520000.0;6582.0;79.0;4.0
118;Vilnius, Šnipiškės, Kalvarijų g.;179000.0;3972.0;45.07;2.0
119;Klaipėda, Paupiai, Ragainės g.;135500.0;3196.0;42.4;2.0
120;Vilnius, Žirmūnai, M. Katkaus g.;179000.0;3580.0;50.0;2.0
121;Palanga, Palanga, Vytauto g.;219000.0;5230.0;41.87;2.0
122;Vilnius, Lazdynėliai, Lazdynėlių g.;159900.0;2758.0;57.97;3.0
123;Vilnius, Šiaurės miestelis, J. Galvydžio g.;139000.0;2985.0;46.57;2.0
124;Klaipėda, Labrenciškės, Kretingos g.;177775.0;2090.0;85.06;4.0
125;Klaipėda, Paupiai, Klemiškės g.;185000.0;3083.0;60.0;3.0
126;Klaipėda, Senamiestis, J. Janonio g.;95000.0;2159.0;44.0;2.0
127;Vilnius, Karoliniškės, Vytauto Vaitkaus g.;116000.0;3345.0;34.68;2.0
128;Vilnius, Naujoji Vilnia, Dūmų g.;56000.0;1856.0;30.18;2.0
129;Vilnius, Užupis, Krivių g.;195000.0;4333.0;45.0;2.0
130;Vilnius, Markučiai, Manufaktūrų g.;232000.0;4901.0;47.34;2.0
131;Visagino m., Sedulinos al.;46000.0;659.0;69.8;4.0
132;Vilnius, Fabijoniškės, Salomėjos Nėries g.;150000.0;2399.0;62.53;2.0
133;Vilnius, Senamiestis, Pylimo g.;690000.0;4825.0;143.0;4.0
134;Kaunas, Žemieji Šančiai, A. Juozapavičiaus pr.;149999.0;2885.0;52.0;2.0
135;Jonavos m., Kosmonautų g.;32000.0;1204.0;26.57;1.0
136;Vilnius, Valakampiai, Svajonių g.;375000.0;3989.0;94.0;4.0
137;Kauno r. sav., Jonučių II k., Versmės g.;73128.0;1825.0;40.07;2.0
138;Šiauliai, Centras, Draugystės pr.;89000.0;1735.0;51.29;3.0
139;Vilnius, Šiaurės miestelis, Žygio g.;183000.0;3027.0;60.46;2.0
140;Vilnius, Markučiai, Manufaktūrų g.;420000.0;5185.0;81.0;4.0
141;Palanga, Druskininkų g.;59000.0;2107.0;28.0;1.0
142;Vilnius, Lazdynėliai, Neužmirštuolių g.;265000.0;2665.0;99.44;3.0
143;Kaunas, Dainava, Partizanų g.;70000.0;2121.0;33.0;1.0
144;Vilnius, Markučiai, Manufaktūrų g.;252000.0;5663.0;44.5;2.0
145;Vilnius, Naujamiestis, Savanorių pr.;399000.0;3613.0;110.43;4.0
146;Palanga, Vėžių g.;277200.0;3587.0;77.28;4.0
147;Vilnius, Naujamiestis, Vinco Kudirkos g.;490000.0;3603.0;136.0;4.0
148;Vilnius, Senamiestis, Teatro g.;400000.0;5195.0;77.0;3.0
149;Vilnius, Šnipiškės, Kalvarijų g.;250000.0;3086.0;81.0;3.0
150;Kaunas, Žemieji Šančiai, A. Juozapavičiaus pr.;180000.0;4055.0;44.39;2.0
151;Panevėžys, Klaipėdos, Kosmonautų g.;70000.0;1343.0;52.11;2.0
152;Trakų m., Linksmoji g.;81500.0;1990.0;40.95;2.0
153;Vilnius, Lazdynėliai, Lazdynėlių g.;192900.0;3445.0;56.0;3.0
154;Vilnius, Naujamiestis, T. Ševčenkos g.;95000.0;4556.0;20.85;2.0
155;Klaipėda, Centras, Kauno g.;85000.0;2237.0;38.0;2.0
156;Molėtų m., Mechanizatorių g.;119000.0;1486.0;80.06;4.0
157;Druskininkų m., Neravų g.;85000.0;1838.0;46.25;2.0
158;Vilnius, Šnipiškės, Sporto g.;167000.0;4039.0;41.35;2.0
